b,h,o,t_rtx,t_vega_2.4,t_vega_2.5,t_vega_2.6,2.4->2.5,2.5->2.6
35,700,2048,0.03000,0.17000,0.05000,0.058343,3.40,0.86
35,700,2560,0.05000,0.17000,0.06000,0.068609,2.83,0.87
35,1500,2048,0.14000,0.36000,0.09000,0.090457,4.00,0.99
35,1500,2560,0.20000,0.36000,0.10000,0.105032,3.60,0.95
35,8457,1760,0.34000,1.91000,0.46000,0.496396,4.15,0.93
35,8457,2048,0.35000,1.95000,0.47000,0.510986,4.15,0.92
35,8457,2560,0.49000,1.97000,0.47000,0.509638,4.19,0.92
35,8457,4096,0.42000,1.91000,0.71000,0.741982,2.69,0.96
64,1,1216,0.01000,0.02000,0.01000,0.016408,2.00,0.61
128,1,1024,0.01000,0.02000,0.01000,0.016681,2.00,0.60
128,1,1408,0.01000,0.02000,0.01000,0.016726,2.00,0.60
128,1500,1280,0.07000,0.37000,0.10000,0.104358,3.70,0.96
176,1500,1408,0.07000,0.36000,0.14000,0.154594,2.57,0.91
512,1,512,0.01000,0.01000,0.02000,0.027194,0.50,0.74
512,1,500000,2.58000,1.84000,3.06000,3.147950,0.60,0.97
512,2,512,0.01000,0.01000,0.01000,0.020970,1.00,0.48
512,2,500000,2.61000,3.15000,1.51000,1.563652,2.09,0.97
512,4,512,0.01000,0.02000,0.01000,0.011064,2.00,0.90
512,4,500000,2.64000,2.96000,1.55000,1.612743,1.91,0.96
512,8,500000,2.54000,3.54000,1.60000,1.702745,2.21,0.94
512,16,512,0.01000,0.02000,0.01000,0.011788,2.00,0.85
512,16,500000,2.62000,2.39000,1.66000,1.843299,1.44,0.90
512,32,512,0.01000,0.02000,0.02000,0.013479,1.00,1.48
512,1500,1536,0.19000,0.47000,0.29000,0.316306,1.62,0.92
512,1500,2048,0.24000,0.61000,0.39000,0.429857,1.56,0.91
512,1500,2560,0.42000,0.64000,0.49000,0.527911,1.31,0.93
512,1500,2816,0.43000,0.64000,0.42000,0.526950,1.52,0.80
512,3000,1536,0.37000,0.91000,0.58000,0.618502,1.57,0.94
512,3000,2048,0.49000,1.22000,0.78000,0.850471,1.56,0.92
512,3000,2560,0.59000,1.24000,0.88000,0.950939,1.41,0.93
512,3000,2816,0.66000,1.28000,1.15000,1.241172,1.11,0.93
512,6000,1536,0.71000,1.81000,1.06000,1.049058,1.71,1.01
512,6000,2048,0.93000,2.42000,1.53000,1.712730,1.58,0.89
512,6000,2560,1.32000,2.51000,1.61000,2.004908,1.56,0.80
512,6000,2816,1.35000,2.54000,1.64000,2.049709,1.55,0.80
512,24000,1536,3.20000,7.51000,4.30000,4.201442,1.75,1.02
512,24000,2048,4.37000,9.80000,6.19000,6.937256,1.58,0.89
512,24000,2560,4.69000,10.15000,6.45000,8.058895,1.57,0.80
512,24000,2816,5.23000,10.40000,6.58000,8.275868,1.58,0.80
512,48000,1536,6.51000,15.13000,8.61000,8.439821,1.76,1.02
512,48000,2048,8.90000,19.79000,12.40000,13.721200,1.60,0.90
512,48000,2560,9.52000,20.67000,12.91000,16.097226,1.60,0.80
512,48000,2816,10.62000,21.13000,13.18000,16.483436,1.60,0.80
1024,1,512,0.01000,0.01000,0.02000,0.025342,0.50,0.79
1024,1,500000,4.92000,3.69000,8.72000,9.181853,0.42,0.95
1024,2,512,0.01000,0.01000,0.02000,0.021397,0.50,0.93
1024,2,500000,4.94000,3.73000,3.01000,3.119247,1.24,0.96
1024,4,512,0.01000,0.01000,0.02000,0.012824,0.50,1.56
1024,4,500000,4.98000,6.73000,3.09000,3.215381,2.18,0.96
1024,8,500000,5.05000,7.04000,3.18000,3.395693,2.21,0.94
1024,16,512,0.01000,0.02000,0.02000,0.014235,1.00,1.40
1024,16,500000,5.12000,7.74000,3.30000,3.674189,2.35,0.90
1024,32,512,0.01000,0.02000,0.02000,0.016728,1.00,1.20
1024,700,512,0.07000,0.22000,0.11000,0.114443,2.00,0.96
1024,1500,1536,0.38000,0.86000,0.53000,0.540516,1.62,0.98
1024,1500,2048,0.51000,1.04000,0.66000,0.766611,1.58,0.86
1024,1500,2560,0.62000,1.23000,0.83000,0.870498,1.48,0.95
1024,1500,2816,0.73000,1.28000,0.79000,1.011387,1.62,0.78
1024,3000,1536,0.74000,1.73000,1.08000,1.116800,1.60,0.97
1024,3000,2048,0.99000,2.07000,1.47000,1.644727,1.41,0.89
1024,3000,2560,1.21000,2.46000,1.67000,1.823842,1.47,0.92
1024,3000,2816,1.33000,2.53000,1.65000,1.698787,1.53,0.97
1024,6000,1536,1.44000,3.39000,2.10000,2.115898,1.61,0.99
1024,6000,2048,1.88000,4.11000,2.95000,3.311313,1.39,0.89
1024,6000,2560,2.35000,4.88000,3.05000,3.772578,1.60,0.81
1024,6000,2816,2.75000,5.03000,3.10000,3.996385,1.62,0.78
