b,h,o,t_rtx,t_vega,t_vega_2.5,Vega vs Vega,Vega Vs RTX
35,700,2048,0.03,0.17,0.05,211.24%,-45.08%
35,700,2560,0.05,0.17,0.06,163.80%,-22.41%
35,1500,2048,0.14,0.36,0.09,316.00%,61.78%
35,1500,2560,0.2,0.36,0.10,264.62%,102.57%
35,8457,1760,0.34,1.91,0.46,312.63%,-26.55%
35,8457,2048,0.35,1.95,0.47,312.35%,-25.99%
35,8457,2560,0.49,1.97,0.47,321.52%,4.85%
35,8457,4096,0.42,1.91,0.71,170.24%,-40.57%
64,1,1216,0.01,0.02,0.01,116.33%,8.16%
128,1,1024,0.01,0.02,0.01,113.82%,6.91%
128,1,1408,0.01,0.02,0.01,113.54%,6.77%
128,1500,1280,0.07,0.37,0.10,263.68%,-31.20%
176,1500,1408,0.07,0.36,0.14,148.64%,-51.65%
512,1,512,0.01,0.01,0.02,-33.46%,-33.46%
512,1,500000,2.58,1.84,3.06,-39.86%,-15.68%
512,2,512,0.01,0.01,0.01,-15.61%,-15.61%
512,2,500000,2.61,3.15,1.51,108.84%,73.04%
512,4,512,0.01,0.02,0.01,65.01%,-17.50%
512,4,500000,2.64,2.96,1.55,90.83%,70.20%
512,8,500000,2.54,3.54,1.60,121.66%,59.05%
512,16,512,0.01,0.02,0.01,39.47%,-30.26%
512,16,500000,2.62,2.39,1.66,44.26%,58.14%
512,32,512,0.01,0.02,0.02,16.85%,-41.57%
512,1500,1536,0.19,0.47,0.29,60.08%,-35.29%
512,1500,2048,0.24,0.61,0.39,55.38%,-38.87%
512,1500,2560,0.42,0.64,0.49,30.90%,-14.10%
512,1500,2816,0.43,0.64,0.42,51.26%,1.63%
512,3000,1536,0.37,0.91,0.58,57.02%,-36.16%
512,3000,2048,0.49,1.22,0.78,56.12%,-37.30%
512,3000,2560,0.59,1.24,0.88,41.51%,-32.67%
512,3000,2816,0.66,1.28,1.15,11.04%,-42.75%
512,6000,1536,0.71,1.81,1.06,70.40%,-33.16%
512,6000,2048,0.93,2.42,1.53,57.81%,-39.35%
512,6000,2560,1.32,2.51,1.61,56.36%,-17.77%
512,6000,2816,1.35,2.54,1.64,54.91%,-17.67%
512,24000,1536,3.2,7.51,4.30,74.68%,-25.57%
512,24000,2048,4.37,9.8,6.19,58.26%,-29.43%
512,24000,2560,4.69,10.15,6.45,57.31%,-27.31%
512,24000,2816,5.23,10.4,6.58,57.99%,-20.55%
512,48000,1536,6.51,15.13,8.61,75.74%,-24.38%
512,48000,2048,8.9,19.79,12.40,59.61%,-28.22%
512,48000,2560,9.52,20.67,12.91,60.13%,-26.25%
512,48000,2816,10.62,21.13,13.18,60.26%,-19.45%
1024,1,512,0.01,0.01,0.02,-58.66%,-58.66%
1024,1,500000,4.92,3.69,8.72,-57.70%,-43.60%
1024,2,512,0.01,0.01,0.02,-58.91%,-58.91%
1024,2,500000,4.94,3.73,3.01,24.03%,64.27%
1024,4,512,0.01,0.01,0.02,-42.60%,-42.60%
1024,4,500000,4.98,6.73,3.09,117.62%,61.03%
1024,8,500000,5.05,7.04,3.18,121.10%,58.60%
1024,16,512,0.01,0.02,0.02,-0.91%,-50.45%
1024,16,500000,5.12,7.74,3.30,134.56%,55.16%
1024,32,512,0.01,0.02,0.02,-16.82%,-58.41%
1024,700,512,0.07,0.22,0.11,108.53%,-33.65%
1024,1500,1536,0.38,0.86,0.53,62.42%,-28.23%
1024,1500,2048,0.51,1.04,0.66,56.63%,-23.19%
1024,1500,2560,0.62,1.23,0.83,49.03%,-24.88%
1024,1500,2816,0.73,1.28,0.79,61.31%,-8.00%
1024,3000,1536,0.74,1.73,1.08,60.34%,-31.42%
1024,3000,2048,0.99,2.07,1.47,40.65%,-32.73%
1024,3000,2560,1.21,2.46,1.67,47.48%,-27.46%
1024,3000,2816,1.33,2.53,1.65,53.69%,-19.21%
1024,6000,1536,1.44,3.39,2.10,61.31%,-31.48%
1024,6000,2048,1.88,4.11,2.95,39.37%,-36.25%
1024,6000,2560,2.35,4.88,3.05,59.89%,-23.01%
1024,6000,2816,2.75,5.03,3.10,62.08%,-11.39%
1024,24000,1536,6.62,13.65,8.33,63.92%,-20.50%
1024,24000,2048,9.01,16.57,10.44,58.73%,-13.69%
1024,24000,2560,9.65,19.66,12.58,56.24%,-23.31%
1024,24000,2816,10.7,20.22,13.04,55.11%,-17.92%
1024,48000,1536,13.58,27.51,16.79,63.84%,-19.12%
1024,48000,2048,18.89,33.42,21.28,57.02%,-11.25%
1024,48000,2560,19.75,39.7,25.85,53.57%,-23.60%
1024,48000,2816,22.06,40.87,26.82,52.39%,-17.75%
